confusion_pair,delta_vs_baseline,metric,source_id,source_type,target_id,value
ack->bcc,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.3125
ack->bcc,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.8125
ack->bcc,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.615385
ack->bcc,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.6875
ack->bcc,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
ack->bcc,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
actinic keratosis->bcc,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
actinic keratosis->bcc,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.666667
actinic keratosis->bcc,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
actinic keratosis->bcc,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
actinic keratosis->bcc,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
actinic keratosis->bcc,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
actinic keratosis->scc,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
actinic keratosis->scc,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
actinic keratosis->scc,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
actinic keratosis->scc,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
actinic keratosis->scc,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
actinic keratosis->scc,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
atypical mole->ack,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
atypical mole->ack,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
atypical mole->ack,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
atypical mole->ack,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
atypical mole->ack,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
atypical mole->ack,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
basal cell carcinoma->scc,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
basal cell carcinoma->scc,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
basal cell carcinoma->scc,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
basal cell carcinoma->scc,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
basal cell carcinoma->scc,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
basal cell carcinoma->scc,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
contact dermatitis->bcc,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
contact dermatitis->bcc,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
contact dermatitis->bcc,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
contact dermatitis->bcc,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
contact dermatitis->bcc,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
contact dermatitis->bcc,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
hemangioma->ack,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
hemangioma->ack,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
hemangioma->ack,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
hemangioma->ack,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
hemangioma->ack,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
hemangioma->ack,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
keratoacanthoma->ack,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
keratoacanthoma->ack,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
keratoacanthoma->ack,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
keratoacanthoma->ack,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
keratoacanthoma->ack,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
keratoacanthoma->ack,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
keratoacanthoma->bcc,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
keratoacanthoma->bcc,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
keratoacanthoma->bcc,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
keratoacanthoma->bcc,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
keratoacanthoma->bcc,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
keratoacanthoma->bcc,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
lichen simplex chronicus->ack,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
lichen simplex chronicus->ack,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
lichen simplex chronicus->ack,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
lichen simplex chronicus->ack,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
lichen simplex chronicus->ack,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
lichen simplex chronicus->ack,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
malignant melanoma->ack,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
malignant melanoma->ack,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.666667
malignant melanoma->ack,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
malignant melanoma->ack,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
malignant melanoma->ack,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
malignant melanoma->ack,,error_rate_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
malignant melanoma->bcc,,top1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0
malignant melanoma->bcc,,topk,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.5
malignant melanoma->bcc,,malignant_recall,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
malignant melanoma->bcc,,error_rate,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0
malignant melanoma->bcc,,top1_delta_vs_baseline,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,
