cluster_key,delta_vs_baseline,failure_type,metric,source_id,value
agent_failure_no_baseline|Actinic Keratosis->BCC|BCC,,agent_failure_no_baseline,count,hard_case_mining,4
agent_failure_no_baseline|Actinic Keratosis->BCC|BCC,,agent_failure_no_baseline,average_importance,hard_case_mining,7.62
agent_failure_no_baseline|Actinic Keratosis->SCC|SCC,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Actinic Keratosis->SCC|SCC,,agent_failure_no_baseline,average_importance,hard_case_mining,5.5
agent_failure_no_baseline|Actinic Keratosis->SEK|SEK,,agent_failure_no_baseline,count,hard_case_mining,2
agent_failure_no_baseline|Actinic Keratosis->SEK|SEK,,agent_failure_no_baseline,average_importance,hard_case_mining,7.0
agent_failure_no_baseline|Actinic keratosis->BCC|BCC,,agent_failure_no_baseline,count,hard_case_mining,7
agent_failure_no_baseline|Actinic keratosis->BCC|BCC,,agent_failure_no_baseline,average_importance,hard_case_mining,8.36
agent_failure_no_baseline|Actinic keratosis->NEV|NEV,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Actinic keratosis->NEV|NEV,,agent_failure_no_baseline,average_importance,hard_case_mining,5.5
agent_failure_no_baseline|Actinic keratosis->SCC|SCC,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Actinic keratosis->SCC|SCC,,agent_failure_no_baseline,average_importance,hard_case_mining,5.5
agent_failure_no_baseline|Atypical Mole->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Atypical Mole->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,5.5
agent_failure_no_baseline|Atypical nevus->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Atypical nevus->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,7.0
agent_failure_no_baseline|Basal Cell Carcinoma->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Basal Cell Carcinoma->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,5.5
agent_failure_no_baseline|Basal Cell Carcinoma->SEK|SEK,,agent_failure_no_baseline,count,hard_case_mining,2
agent_failure_no_baseline|Basal Cell Carcinoma->SEK|SEK,,agent_failure_no_baseline,average_importance,hard_case_mining,5.75
agent_failure_no_baseline|Basal cell carcinoma->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,3
agent_failure_no_baseline|Basal cell carcinoma->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,8.0
agent_failure_no_baseline|Cutaneous Squamous Cell Carcinoma (SCC)->BCC|BCC,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Cutaneous Squamous Cell Carcinoma (SCC)->BCC|BCC,,agent_failure_no_baseline,average_importance,hard_case_mining,7.0
agent_failure_no_baseline|Lichen Planus->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,2
agent_failure_no_baseline|Lichen Planus->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,6.75
agent_failure_no_baseline|Lichen sclerosus->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Lichen sclerosus->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,5.5
agent_failure_no_baseline|Lichen simplex chronicus->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,6
agent_failure_no_baseline|Lichen simplex chronicus->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,8.33
agent_failure_no_baseline|Lichen simplex chronicus->SEK|SEK,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Lichen simplex chronicus->SEK|SEK,,agent_failure_no_baseline,average_importance,hard_case_mining,5.5
agent_failure_no_baseline|Malignant Melanoma->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,2
agent_failure_no_baseline|Malignant Melanoma->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,7.25
agent_failure_no_baseline|Malignant Melanoma->BCC|BCC,,agent_failure_no_baseline,count,hard_case_mining,2
