component,delta_vs_baseline,metric,metric_split,run_id,stage_id,stage_name,value
bootstrap_data_snapshot,,controller_example_count,stage,medium_signal_no_ablation_10h_v1,0,bootstrap_collect_data,119
bootstrap_data_snapshot,,records_selected,stage,medium_signal_no_ablation_10h_v1,0,bootstrap_collect_data,119
controller_planner_scorer,,micro_f1,metrics,medium_signal_no_ablation_10h_v1,1,supervised_controller_training,
controller_planner_scorer,,topk_hit_rate,metrics,medium_signal_no_ablation_10h_v1,1,supervised_controller_training,
retrieval_reranker,,grouped_top1_hit_rate,metrics,medium_signal_no_ablation_10h_v1,2,retrieval_scorer_training,
retrieval_reranker,,pointwise_binary_f1,metrics,medium_signal_no_ablation_10h_v1,2,retrieval_scorer_training,
policy_candidate,,top1,val,medium_signal_no_ablation_10h_v1,3,policy_candidate_evaluation,0.283333
policy_candidate,,malignant_recall,val,medium_signal_no_ablation_10h_v1,3,policy_candidate_evaluation,0.71875
stable_checkpoint_bundle,,exported_component_count,stage,medium_signal_no_ablation_10h_v1,4,stable_checkpoint_export,2
stable_checkpoint_bundle,,export_tier,stage,medium_signal_no_ablation_10h_v1,4,stable_checkpoint_export,run_candidate_export
