delta_vs_baseline,eval_id,label,metric,suite_label,target_id,value
0.0,compare_agent_vs_qwen_20260328T100142Z,Direct Baseline,top1,compare_agent_vs_qwen,direct_baseline,
0.0,compare_agent_vs_qwen_20260328T100142Z,Direct Baseline,topk,compare_agent_vs_qwen,direct_baseline,
,compare_agent_vs_qwen_20260328T100142Z,Direct Baseline,malignant_recall,compare_agent_vs_qwen,direct_baseline,
0.0,compare_agent_vs_qwen_20260328T100142Z,Direct Baseline,error_rate,compare_agent_vs_qwen,direct_baseline,
,compare_agent_vs_qwen_20260328T100142Z,Direct Baseline,top1_delta_vs_baseline,compare_agent_vs_qwen,direct_baseline,0.0
,compare_agent_vs_qwen_20260328T100142Z,Direct Baseline,topk_delta_vs_baseline,compare_agent_vs_qwen,direct_baseline,0.0
,compare_agent_vs_qwen_20260328T100142Z,Direct Baseline,malignant_recall_delta_vs_baseline,compare_agent_vs_qwen,direct_baseline,
,compare_agent_vs_qwen_20260328T100142Z,Direct Baseline,error_rate_delta_vs_baseline,compare_agent_vs_qwen,direct_baseline,0.0
,compare_agent_vs_qwen_20260328T100142Z,Full DermAgent,top1,compare_agent_vs_qwen,full_dermagent,
,compare_agent_vs_qwen_20260328T100142Z,Full DermAgent,topk,compare_agent_vs_qwen,full_dermagent,
,compare_agent_vs_qwen_20260328T100142Z,Full DermAgent,malignant_recall,compare_agent_vs_qwen,full_dermagent,
,compare_agent_vs_qwen_20260328T100142Z,Full DermAgent,error_rate,compare_agent_vs_qwen,full_dermagent,
,compare_agent_vs_qwen_20260328T100142Z,Full DermAgent,top1_delta_vs_baseline,compare_agent_vs_qwen,full_dermagent,
,compare_agent_vs_qwen_20260328T100142Z,Full DermAgent,topk_delta_vs_baseline,compare_agent_vs_qwen,full_dermagent,
,compare_agent_vs_qwen_20260328T100142Z,Full DermAgent,malignant_recall_delta_vs_baseline,compare_agent_vs_qwen,full_dermagent,
,compare_agent_vs_qwen_20260328T100142Z,Full DermAgent,error_rate_delta_vs_baseline,compare_agent_vs_qwen,full_dermagent,
0.0,eval_brief_20260328T103459Z,Direct Baseline,top1,eval_brief,direct_baseline,0.325
0.0,eval_brief_20260328T103459Z,Direct Baseline,topk,eval_brief,direct_baseline,0.775
0.0,eval_brief_20260328T103459Z,Direct Baseline,malignant_recall,eval_brief,direct_baseline,0.62069
0.0,eval_brief_20260328T103459Z,Direct Baseline,error_rate,eval_brief,direct_baseline,0.675
,eval_brief_20260328T103459Z,Direct Baseline,top1_delta_vs_baseline,eval_brief,direct_baseline,0.0
,eval_brief_20260328T103459Z,Direct Baseline,topk_delta_vs_baseline,eval_brief,direct_baseline,0.0
,eval_brief_20260328T103459Z,Direct Baseline,malignant_recall_delta_vs_baseline,eval_brief,direct_baseline,0.0
,eval_brief_20260328T103459Z,Direct Baseline,error_rate_delta_vs_baseline,eval_brief,direct_baseline,0.0
-0.075,eval_brief_20260328T103459Z,Full DermAgent,top1,eval_brief,full_dermagent,0.25
-0.1,eval_brief_20260328T103459Z,Full DermAgent,topk,eval_brief,full_dermagent,0.675
0.137931,eval_brief_20260328T103459Z,Full DermAgent,malignant_recall,eval_brief,full_dermagent,0.758621
0.075,eval_brief_20260328T103459Z,Full DermAgent,error_rate,eval_brief,full_dermagent,0.75
,eval_brief_20260328T103459Z,Full DermAgent,top1_delta_vs_baseline,eval_brief,full_dermagent,-0.075
,eval_brief_20260328T103459Z,Full DermAgent,topk_delta_vs_baseline,eval_brief,full_dermagent,-0.1
,eval_brief_20260328T103459Z,Full DermAgent,malignant_recall_delta_vs_baseline,eval_brief,full_dermagent,0.137931
,eval_brief_20260328T103459Z,Full DermAgent,error_rate_delta_vs_baseline,eval_brief,full_dermagent,0.075
