delta_vs_baseline,metric,skill_name,value
,call_count,ack_scc_specialist_skill,71
,helpful_count,ack_scc_specialist_skill,19
,partially_helpful_count,ack_scc_specialist_skill,48
,harmful_count,ack_scc_specialist_skill,4
,average_evidence_strength,ack_scc_specialist_skill,0.6
,helpful_rate,ack_scc_specialist_skill,0.2676
,harmful_rate,ack_scc_specialist_skill,0.0563
,call_count,border_surface_analysis_skill,117
,helpful_count,border_surface_analysis_skill,32
,partially_helpful_count,border_surface_analysis_skill,85
,harmful_count,border_surface_analysis_skill,0
,average_evidence_strength,border_surface_analysis_skill,0.6
,helpful_rate,border_surface_analysis_skill,0.2735
,harmful_rate,border_surface_analysis_skill,0.0
,call_count,color_pattern_analysis_skill,123
,helpful_count,color_pattern_analysis_skill,34
,partially_helpful_count,color_pattern_analysis_skill,89
,harmful_count,color_pattern_analysis_skill,0
,average_evidence_strength,color_pattern_analysis_skill,0.6
,helpful_rate,color_pattern_analysis_skill,0.2764
,harmful_rate,color_pattern_analysis_skill,0.0
,call_count,contradiction_check_skill,123
,helpful_count,contradiction_check_skill,30
,partially_helpful_count,contradiction_check_skill,77
,harmful_count,contradiction_check_skill,16
,average_evidence_strength,contradiction_check_skill,0.6
,helpful_rate,contradiction_check_skill,0.2439
,harmful_rate,contradiction_check_skill,0.1301
,call_count,differential_compare_skill,90
,helpful_count,differential_compare_skill,25
,partially_helpful_count,differential_compare_skill,65
,harmful_count,differential_compare_skill,0
,average_evidence_strength,differential_compare_skill,0.6444
,helpful_rate,differential_compare_skill,0.2778
,harmful_rate,differential_compare_skill,0.0
,call_count,distribution_analysis_skill,123
,helpful_count,distribution_analysis_skill,34
,partially_helpful_count,distribution_analysis_skill,89
,harmful_count,distribution_analysis_skill,0
,average_evidence_strength,distribution_analysis_skill,0.5976
,helpful_rate,distribution_analysis_skill,0.2764
,harmful_rate,distribution_analysis_skill,0.0
,call_count,escalation_recommendation_skill,90
,helpful_count,escalation_recommendation_skill,29
,partially_helpful_count,escalation_recommendation_skill,60
,harmful_count,escalation_recommendation_skill,1
,average_evidence_strength,escalation_recommendation_skill,0.7644
,helpful_rate,escalation_recommendation_skill,0.3222
,harmful_rate,escalation_recommendation_skill,0.0111
,call_count,exclusion_reasoning_skill,102
,helpful_count,exclusion_reasoning_skill,27
,partially_helpful_count,exclusion_reasoning_skill,75
,harmful_count,exclusion_reasoning_skill,0
,average_evidence_strength,exclusion_reasoning_skill,0.6
,helpful_rate,exclusion_reasoning_skill,0.2647
,harmful_rate,exclusion_reasoning_skill,0.0
,call_count,information_gap_detection_skill,108
,helpful_count,information_gap_detection_skill,32
,partially_helpful_count,information_gap_detection_skill,76
,harmful_count,information_gap_detection_skill,0
,average_evidence_strength,information_gap_detection_skill,0.5333
,helpful_rate,information_gap_detection_skill,0.2963
,harmful_rate,information_gap_detection_skill,0.0
,call_count,lesion_description_structuring_skill,123
,helpful_count,lesion_description_structuring_skill,34
,partially_helpful_count,lesion_description_structuring_skill,89
,harmful_count,lesion_description_structuring_skill,0
,average_evidence_strength,lesion_description_structuring_skill,0.6
,helpful_rate,lesion_description_structuring_skill,0.2764
,harmful_rate,lesion_description_structuring_skill,0.0
,call_count,malignancy_risk_assessment_skill,123
,helpful_count,malignancy_risk_assessment_skill,34
,partially_helpful_count,malignancy_risk_assessment_skill,89
,harmful_count,malignancy_risk_assessment_skill,0
,average_evidence_strength,malignancy_risk_assessment_skill,0.7593
,helpful_rate,malignancy_risk_assessment_skill,0.2764
,harmful_rate,malignancy_risk_assessment_skill,0.0
,call_count,mel_nev_specialist_skill,8
,helpful_count,mel_nev_specialist_skill,3
,partially_helpful_count,mel_nev_specialist_skill,3
,harmful_count,mel_nev_specialist_skill,2
,average_evidence_strength,mel_nev_specialist_skill,0.85
,helpful_rate,mel_nev_specialist_skill,0.375
,harmful_rate,mel_nev_specialist_skill,0.25
,call_count,metadata_consistency_skill,123
,helpful_count,metadata_consistency_skill,34
,partially_helpful_count,metadata_consistency_skill,89
,harmful_count,metadata_consistency_skill,0
,average_evidence_strength,metadata_consistency_skill,0.6
,helpful_rate,metadata_consistency_skill,0.2764
,harmful_rate,metadata_consistency_skill,0.0
,call_count,morphology_analysis_skill,123
,helpful_count,morphology_analysis_skill,34
,partially_helpful_count,morphology_analysis_skill,89
,harmful_count,morphology_analysis_skill,0
,average_evidence_strength,morphology_analysis_skill,0.6
,helpful_rate,morphology_analysis_skill,0.2764
,harmful_rate,morphology_analysis_skill,0.0
,call_count,temporal_evolution_skill,123
,helpful_count,temporal_evolution_skill,33
,partially_helpful_count,temporal_evolution_skill,90
,harmful_count,temporal_evolution_skill,0
,average_evidence_strength,temporal_evolution_skill,0.5805
,helpful_rate,temporal_evolution_skill,0.2683
,harmful_rate,temporal_evolution_skill,0.0
,call_count,uncertainty_assessment_skill,123
,helpful_count,uncertainty_assessment_skill,34
,partially_helpful_count,uncertainty_assessment_skill,89
,harmful_count,uncertainty_assessment_skill,0
,average_evidence_strength,uncertainty_assessment_skill,0.6081
,helpful_rate,uncertainty_assessment_skill,0.2764
,harmful_rate,uncertainty_assessment_skill,0.0
