average_importance,cluster_key,count,dominant_confusion_pair,dominant_label,example_case_ids,failure_type,source_id
7.62,agent_failure_no_baseline|Actinic Keratosis->BCC|BCC,4,Actinic Keratosis->BCC|actinic keratosis_vs_bcc,BCC,"[""PAT_821_1547"", ""PAT_920_1747"", ""PAT_759_1538"", ""PAT_394_1562""]",agent_failure_no_baseline,hard_case_mining
5.5,agent_failure_no_baseline|Actinic Keratosis->SCC|SCC,1,Actinic Keratosis->SCC|actinic keratosis_vs_scc,SCC,"[""PAT_380_1540""]",agent_failure_no_baseline,hard_case_mining
7.0,agent_failure_no_baseline|Actinic Keratosis->SEK|SEK,2,Actinic Keratosis->SEK|actinic keratosis_vs_sek,SEK,"[""PAT_1926_3871"", ""PAT_544_3299""]",agent_failure_no_baseline,hard_case_mining
8.36,agent_failure_no_baseline|Actinic keratosis->BCC|BCC,7,Actinic keratosis->BCC|actinic keratosis_vs_bcc,BCC,"[""PAT_981_1848"", ""PAT_962_1823"", ""PAT_620_1176"", ""PAT_409_812"", ""PAT_778_1471""]",agent_failure_no_baseline,hard_case_mining
5.5,agent_failure_no_baseline|Actinic keratosis->NEV|NEV,1,Actinic keratosis->NEV|actinic keratosis_vs_nev,NEV,"[""PAT_1453_1567""]",agent_failure_no_baseline,hard_case_mining
5.5,agent_failure_no_baseline|Actinic keratosis->SCC|SCC,1,Actinic keratosis->SCC|actinic keratosis_vs_scc,SCC,"[""PAT_805_1517""]",agent_failure_no_baseline,hard_case_mining
5.5,agent_failure_no_baseline|Atypical Mole->ACK|ACK,1,Atypical Mole->ACK|atypical mole_vs_ack,ACK,"[""PAT_1014_86""]",agent_failure_no_baseline,hard_case_mining
7.0,agent_failure_no_baseline|Atypical nevus->ACK|ACK,1,Atypical nevus->ACK|atypical nevus_vs_ack,ACK,"[""PAT_289_1399""]",agent_failure_no_baseline,hard_case_mining
5.5,agent_failure_no_baseline|Basal Cell Carcinoma->ACK|ACK,1,Basal Cell Carcinoma->ACK|basal cell carcinoma_vs_ack,ACK,"[""PAT_236_361""]",agent_failure_no_baseline,hard_case_mining
5.75,agent_failure_no_baseline|Basal Cell Carcinoma->SEK|SEK,2,Basal Cell Carcinoma->SEK|basal cell carcinoma_vs_sek,SEK,"[""PAT_1582_2574"", ""PAT_1721_3219""]",agent_failure_no_baseline,hard_case_mining
8.0,agent_failure_no_baseline|Basal cell carcinoma->ACK|ACK,3,Basal cell carcinoma->ACK|basal cell carcinoma_vs_ack,ACK,"[""PAT_374_762"", ""PAT_1492_1705"", ""PAT_1688_3066""]",agent_failure_no_baseline,hard_case_mining
7.0,agent_failure_no_baseline|Cutaneous Squamous Cell Carcinoma (SCC)->BCC|BCC,1,Cutaneous Squamous Cell Carcinoma (SCC)->BCC|cutaneous squamous cell carcinoma (scc)_vs_bcc,BCC,"[""PAT_875_1669""]",agent_failure_no_baseline,hard_case_mining
6.75,agent_failure_no_baseline|Lichen Planus->ACK|ACK,2,Lichen Planus->ACK|lichen planus_vs_ack,ACK,"[""PAT_1725_3222"", ""PAT_1693_3103""]",agent_failure_no_baseline,hard_case_mining
5.5,agent_failure_no_baseline|Lichen sclerosus->ACK|ACK,1,Lichen sclerosus->ACK|lichen sclerosus_vs_ack,ACK,"[""PAT_276_425""]",agent_failure_no_baseline,hard_case_mining
