average_evidence_strength,call_count,common_failure_modes,common_use_scenarios,contradiction_detection_count,harmful_count,harmful_rate,helpful_count,helpful_rate,malignant_flag_support_count,partially_helpful_count,selected_count,skill_name,uncertainty_reduction_count
0.6,71,"[{""name"": ""active_confusion_unresolved"", ""count"": 51}, {""name"": ""final_reasoning_failed"", ""count"": 51}, {""name"": ""uncertainty_remained_high"", ""count"": 43}, {""name"": ""low_net_reasoning_value"", ""count"": 4}, {""name"": ""excess_redundancy_low_usage"", ""count"": 4}]","[""ack_scc_specialist_skill"", ""uncertainty:high"", ""risk:malignancy_risk:high"", ""ddx:Actinic keratosis|Seborrheic keratosis"", ""risk:malignancy_risk:medium""]",0,4,0.0563,19,0.2676,71,48,71,ack_scc_specialist_skill,32
0.6,117,"[{""name"": ""active_confusion_unresolved"", ""count"": 85}, {""name"": ""final_reasoning_failed"", ""count"": 85}, {""name"": ""uncertainty_remained_high"", ""count"": 54}]","[""border_surface_analysis_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",0,0,0.0,32,0.2735,0,85,117,border_surface_analysis_skill,0
0.6,123,"[{""name"": ""active_confusion_unresolved"", ""count"": 89}, {""name"": ""final_reasoning_failed"", ""count"": 89}, {""name"": ""uncertainty_remained_high"", ""count"": 60}]","[""color_pattern_analysis_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",0,0,0.0,34,0.2764,0,89,123,color_pattern_analysis_skill,0
0.6,123,"[{""name"": ""active_confusion_unresolved"", ""count"": 89}, {""name"": ""final_reasoning_failed"", ""count"": 89}, {""name"": ""uncertainty_remained_high"", ""count"": 60}, {""name"": ""low_net_reasoning_value"", ""count"": 16}, {""name"": ""excess_redundancy_low_usage"", ""count"": 16}]","[""contradiction_check_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",123,16,0.1301,30,0.2439,49,77,123,contradiction_check_skill,87
0.6444,90,"[{""name"": ""active_confusion_unresolved"", ""count"": 65}, {""name"": ""final_reasoning_failed"", ""count"": 65}, {""name"": ""uncertainty_remained_high"", ""count"": 37}]","[""differential_compare_skill"", ""uncertainty:medium"", ""risk:malignancy_risk:medium"", ""risk:malignancy_risk:high"", ""uncertainty:high""]",4,0,0.0,25,0.2778,47,65,90,differential_compare_skill,90
0.5976,123,"[{""name"": ""active_confusion_unresolved"", ""count"": 89}, {""name"": ""final_reasoning_failed"", ""count"": 89}, {""name"": ""uncertainty_remained_high"", ""count"": 60}, {""name"": ""weak_evidence_strength"", ""count"": 1}]","[""distribution_analysis_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",0,0,0.0,34,0.2764,0,89,123,distribution_analysis_skill,7
0.7644,90,"[{""name"": ""active_confusion_unresolved"", ""count"": 61}, {""name"": ""final_reasoning_failed"", ""count"": 61}, {""name"": ""uncertainty_remained_high"", ""count"": 52}, {""name"": ""low_net_reasoning_value"", ""count"": 1}, {""name"": ""excess_redundancy_low_usage"", ""count"": 1}]","[""escalation_recommendation_skill"", ""uncertainty:high"", ""risk:malignancy_risk:medium"", ""risk:malignancy_risk:high"", ""uncertainty:medium""]",0,1,0.0111,29,0.3222,79,60,90,escalation_recommendation_skill,80
0.6,102,"[{""name"": ""active_confusion_unresolved"", ""count"": 75}, {""name"": ""final_reasoning_failed"", ""count"": 75}, {""name"": ""uncertainty_remained_high"", ""count"": 48}]","[""exclusion_reasoning_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",0,0,0.0,27,0.2647,43,75,102,exclusion_reasoning_skill,102
0.5333,108,"[{""name"": ""active_confusion_unresolved"", ""count"": 76}, {""name"": ""final_reasoning_failed"", ""count"": 76}, {""name"": ""uncertainty_remained_high"", ""count"": 58}, {""name"": ""weak_evidence_strength"", ""count"": 24}]","[""information_gap_detection_skill"", ""uncertainty:high"", ""risk:malignancy_risk:medium"", ""risk:malignancy_risk:high"", ""uncertainty:medium""]",0,0,0.0,32,0.2963,76,76,108,information_gap_detection_skill,108
0.6,123,"[{""name"": ""active_confusion_unresolved"", ""count"": 89}, {""name"": ""final_reasoning_failed"", ""count"": 89}, {""name"": ""uncertainty_remained_high"", ""count"": 60}]","[""lesion_description_structuring_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",0,0,0.0,34,0.2764,7,89,123,lesion_description_structuring_skill,123
0.7593,123,"[{""name"": ""active_confusion_unresolved"", ""count"": 89}, {""name"": ""final_reasoning_failed"", ""count"": 89}, {""name"": ""uncertainty_remained_high"", ""count"": 60}]","[""malignancy_risk_assessment_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",0,0,0.0,34,0.2764,123,89,123,malignancy_risk_assessment_skill,9
0.85,8,"[{""name"": ""uncertainty_remained_high"", ""count"": 8}, {""name"": ""active_confusion_unresolved"", ""count"": 4}, {""name"": ""final_reasoning_failed"", ""count"": 4}, {""name"": ""low_net_reasoning_value"", ""count"": 2}, {""name"": ""excess_redundancy_low_usage"", ""count"": 2}]","[""mel_nev_specialist_skill"", ""risk:malignancy_risk:high"", ""uncertainty:high"", ""region:back"", ""ddx:Malignant Melanoma|Atypical Nevus""]",2,2,0.25,3,0.375,8,3,8,mel_nev_specialist_skill,1
0.6,123,"[{""name"": ""active_confusion_unresolved"", ""count"": 89}, {""name"": ""final_reasoning_failed"", ""count"": 89}, {""name"": ""uncertainty_remained_high"", ""count"": 60}]","[""metadata_consistency_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",123,0,0.0,34,0.2764,25,89,123,metadata_consistency_skill,30
0.6,123,"[{""name"": ""active_confusion_unresolved"", ""count"": 89}, {""name"": ""final_reasoning_failed"", ""count"": 89}, {""name"": ""uncertainty_remained_high"", ""count"": 60}]","[""morphology_analysis_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",0,0,0.0,34,0.2764,0,89,123,morphology_analysis_skill,0
0.5805,123,"[{""name"": ""active_confusion_unresolved"", ""count"": 89}, {""name"": ""final_reasoning_failed"", ""count"": 89}, {""name"": ""uncertainty_remained_high"", ""count"": 60}, {""name"": ""weak_evidence_strength"", ""count"": 8}]","[""temporal_evolution_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",0,0,0.0,33,0.2683,0,90,123,temporal_evolution_skill,85
0.6081,123,"[{""name"": ""active_confusion_unresolved"", ""count"": 89}, {""name"": ""final_reasoning_failed"", ""count"": 89}, {""name"": ""uncertainty_remained_high"", ""count"": 60}, {""name"": ""weak_evidence_strength"", ""count"": 2}]","[""uncertainty_assessment_skill"", ""risk:malignancy_risk:medium"", ""uncertainty:medium"", ""uncertainty:high"", ""risk:malignancy_risk:high""]",2,0,0.0,34,0.2764,67,89,123,uncertainty_assessment_skill,123
