model	dataset	status	workflow_profile	label_granularity	report_path	log_path
qwen	ham10000	pass	sparse_lesion_workflow	fine	/root/DermAgent/outputs/test_single/ham10000/compare_agent_vs_qwen_20260502T162759Z.json	/root/DermAgent/outputs/test_single/ham10000/test.log
qwen	pad20	pass	clinical_full_taxonomy_lesion_workflow	unknown	/root/DermAgent/outputs/test_single/pad20/compare_agent_vs_qwen_20260502T162950Z.json	/root/DermAgent/outputs/test_single/pad20/test.log
qwen	isic2019	pass	image_archive_full_taxonomy_lesion_workflow	fine	/root/DermAgent/outputs/test_single/isic2019/compare_agent_vs_qwen_20260502T163141Z.json	/root/DermAgent/outputs/test_single/isic2019/test.log
qwen	scin	pass	family_routing_workflow	grouped	/root/DermAgent/outputs/test_single/scin/compare_agent_vs_qwen_20260502T163911Z.json	/root/DermAgent/outputs/test_single/scin/test.log
qwen	sd198	pass	coarse_taxonomy_workflow	grouped	/root/DermAgent/outputs/test_single/sd198/compare_agent_vs_qwen_20260502T164039Z.json	/root/DermAgent/outputs/test_single/sd198/test.log
llama	ham10000	pass	sparse_lesion_workflow	fine	/root/DermAgent/outputs/workflow_matrix_5x6/llama/ham10000/compare_agent_vs_qwen_20260502T164710Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/llama/ham10000/test.log
llama	pad20	pass	clinical_full_taxonomy_lesion_workflow	unknown	/root/DermAgent/outputs/workflow_matrix_5x6/llama/pad20/compare_agent_vs_qwen_20260502T164938Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/llama/pad20/test.log
llama	isic2019	pass	image_archive_full_taxonomy_lesion_workflow	fine	/root/DermAgent/outputs/workflow_matrix_5x6/llama/isic2019/compare_agent_vs_qwen_20260502T165459Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/llama/isic2019/test.log
llama	scin	pass	family_routing_workflow	grouped	/root/DermAgent/outputs/workflow_matrix_5x6/llama/scin/compare_agent_vs_qwen_20260502T165803Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/llama/scin/test.log
llama	sd198	pass	coarse_taxonomy_workflow	grouped	/root/DermAgent/outputs/workflow_matrix_5x6/llama/sd198/compare_agent_vs_qwen_20260502T170014Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/llama/sd198/test.log
dermatollama	ham10000	pass	sparse_lesion_workflow	fine	/root/DermAgent/outputs/workflow_matrix_5x6/dermatollama/ham10000/compare_agent_vs_qwen_20260502T170223Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/dermatollama/ham10000/test.log
dermatollama	pad20	pass	clinical_full_taxonomy_lesion_workflow	unknown	/root/DermAgent/outputs/workflow_matrix_5x6/dermatollama/pad20/compare_agent_vs_qwen_20260502T170515Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/dermatollama/pad20/test.log
dermatollama	isic2019	pass	image_archive_full_taxonomy_lesion_workflow	fine	/root/DermAgent/outputs/workflow_matrix_5x6/dermatollama/isic2019/compare_agent_vs_qwen_20260502T171128Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/dermatollama/isic2019/test.log
dermatollama	scin	pass	family_routing_workflow	grouped	/root/DermAgent/outputs/workflow_matrix_5x6/dermatollama/scin/compare_agent_vs_qwen_20260502T171511Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/dermatollama/scin/test.log
dermatollama	sd198	pass	coarse_taxonomy_workflow	grouped	/root/DermAgent/outputs/workflow_matrix_5x6/dermatollama/sd198/compare_agent_vs_qwen_20260502T171743Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/dermatollama/sd198/test.log
hulumed	ham10000	pass	sparse_lesion_workflow	fine	/root/DermAgent/outputs/workflow_matrix_5x6/hulumed/ham10000/compare_agent_vs_qwen_20260502T172015Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/hulumed/ham10000/test.log
hulumed	pad20	pass	clinical_full_taxonomy_lesion_workflow	unknown	/root/DermAgent/outputs/workflow_matrix_5x6/hulumed/pad20/compare_agent_vs_qwen_20260502T172256Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/hulumed/pad20/test.log
hulumed	isic2019	pass	image_archive_full_taxonomy_lesion_workflow	fine	/root/DermAgent/outputs/workflow_matrix_5x6/hulumed/isic2019/compare_agent_vs_qwen_20260502T172631Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/hulumed/isic2019/test.log
hulumed	scin	pass	family_routing_workflow	grouped	/root/DermAgent/outputs/workflow_matrix_5x6/hulumed/scin/compare_agent_vs_qwen_20260502T172909Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/hulumed/scin/test.log
hulumed	sd198	pass	coarse_taxonomy_workflow	grouped	/root/DermAgent/outputs/workflow_matrix_5x6/hulumed/sd198/compare_agent_vs_qwen_20260502T173142Z.json	/root/DermAgent/outputs/workflow_matrix_5x6/hulumed/sd198/test.log
