event_ts	job_id	model	dataset	gpu	port	event
2026-05-07T12:56:12Z	c01	qwen	ham10000	0	8120	launched
2026-05-07T14:24:50Z	c02	qwen	isic2019	7	8127	launched
2026-05-07T15:15:08Z	c01	qwen	ham10000	0	8120	finished:OK
2026-05-07T15:15:39Z	c03	qwen	pad20	0	8120	launched
2026-05-07T15:40:03Z	c04	qwen	scin	4	8124	launched
2026-05-07T16:04:24Z	c05	qwen	sd198	6	8126	launched
2026-05-07T16:44:47Z	c02	qwen	isic2019	7	8127	finished:OK
2026-05-07T16:44:53Z	c06	dermatollama	ham10000	7	8127	launched
2026-05-07T17:23:19Z	c07	dermatollama	isic2019	1	8121	launched
2026-05-07T17:32:31Z	c03	qwen	pad20	0	8120	finished:OK
2026-05-07T17:33:24Z	c08	dermatollama	pad20	0	8120	launched
2026-05-07T17:36:26Z	c09	dermatollama	scin	5	8125	launched
2026-05-07T17:42:53Z	c04	qwen	scin	4	8124	finished:OK
2026-05-07T17:43:29Z	c10	medgemma	ham10000	4	8124	launched
2026-05-07T18:02:41Z	c05	qwen	sd198	6	8126	finished:OK
2026-05-07T18:03:36Z	c11	medgemma	sd198	6	8126	launched
2026-05-07T18:09:38Z	c12	hulumed	scin	3	8123	launched
2026-05-07T18:40:44Z	c13	hulumed	sd198	2	8122	launched
2026-05-07T18:49:16Z	c10	medgemma	ham10000	4	8124	finished:OK
2026-05-07T18:49:44Z	c14	llama	ham10000	4	8124	launched
2026-05-07T19:53:28Z	c11	medgemma	sd198	6	8126	finished:OK
2026-05-07T19:53:44Z	c15	llama	sd198	6	8126	launched
2026-05-07T23:53:35Z	c13	hulumed	sd198	2	8122	finished:OK
2026-05-07T23:53:45Z	c16	skinvl	ham10000	2	8122	launched
2026-05-08T00:22:03Z	c12	hulumed	scin	3	8123	finished:OK
2026-05-08T00:24:20Z	c07	dermatollama	isic2019	1	8121	finished:OK
2026-05-08T00:33:46Z	c08	dermatollama	pad20	0	8120	finished:OK
2026-05-08T00:47:46Z	c16	skinvl	ham10000	2	8122	finished:OK
2026-05-08T01:46:05Z	c06	dermatollama	ham10000	7	8127	finished:OK
2026-05-08T01:48:08Z	c09	dermatollama	scin	5	8125	finished:OK
2026-05-08T02:34:36Z	c14	llama	ham10000	4	8124	finished:OK
2026-05-08T02:34:39Z	c15	llama	sd198	6	8126	finished:OK
