model,class,support,top1_hits,top1,topk_hits,topk,precision,recall,f1,tp,fp,fn,false_benign,false_malignant,pred_counts
Hulu-Med direct,MEL,25,13,0.52,19,0.76,0.52,0.52,0.52,13,12,12,1,0,"{""ACK"": 2, ""BCC"": 9, ""MEL"": 13, ""NEV"": 1}"
Hulu-Med direct,BCC,250,250,1.0,250,1.0,0.39308176100628933,1.0,0.5643340857787811,250,386,0,0,0,"{""BCC"": 250}"
Hulu-Med direct,SCC,56,0,0.0,19,0.3392857142857143,0.0,0.0,0.0,0,1,56,0,0,"{""BCC"": 56}"
Hulu-Med direct,ACK,216,0,0.0,7,0.032407407407407406,0.0,0.0,0.0,0,13,216,0,0,"{""BCC"": 215, ""SCC"": 1}"
Hulu-Med direct,NEV,72,8,0.1111111111111111,15,0.20833333333333334,0.6153846153846154,0.1111111111111111,0.18823529411764706,8,5,64,0,64,"{""ACK"": 5, ""BCC"": 51, ""MEL"": 8, ""NEV"": 8}"
Hulu-Med direct,SEK,70,1,0.014285714285714285,1,0.014285714285714285,1.0,0.014285714285714285,0.028169014084507043,1,0,69,0,65,"{""ACK"": 6, ""BCC"": 55, ""MEL"": 4, ""NEV"": 4, ""SEK"": 1}"
DermaLLaMA direct,MEL,25,0,0.0,5,0.2,0.0,0.0,0.0,0,0,25,22,0,"{""BCC"": 3, ""NEV"": 22}"
DermaLLaMA direct,BCC,250,221,0.884,233,0.932,0.4966292134831461,0.884,0.6359712230215827,221,224,29,21,0,"{""ACK"": 1, ""BCC"": 221, ""NEV"": 21, ""SCC"": 1, ""UNK"": 6}"
DermaLLaMA direct,SCC,56,0,0.0,12,0.21428571428571427,0.0,0.0,0.0,0,2,56,3,0,"{""BCC"": 53, ""NEV"": 3}"
DermaLLaMA direct,ACK,216,16,0.07407407407407407,32,0.14814814814814814,0.9411764705882353,0.07407407407407407,0.1373390557939914,16,1,200,38,0,"{""ACK"": 16, ""BCC"": 152, ""NEV"": 35, ""SCC"": 1, ""SEK"": 3, ""UNK"": 9}"
DermaLLaMA direct,NEV,72,70,0.9722222222222222,70,0.9722222222222222,0.3448275862068966,0.9722222222222222,0.5090909090909091,70,133,2,0,1,"{""BCC"": 1, ""NEV"": 70, ""SEK"": 1}"
DermaLLaMA direct,SEK,70,3,0.04285714285714286,22,0.3142857142857143,0.42857142857142855,0.04285714285714286,0.07792207792207792,3,4,67,0,15,"{""BCC"": 15, ""NEV"": 52, ""SEK"": 3}"
MedGemma direct,MEL,25,0,0.0,0,0.0,0.0,0.0,0.0,0,0,25,0,0,"{""BCC"": 1, ""SCC"": 24}"
MedGemma direct,BCC,250,2,0.008,250,1.0,0.15384615384615385,0.008,0.015209125475285171,2,11,248,0,0,"{""BCC"": 2, ""SCC"": 248}"
MedGemma direct,SCC,56,56,1.0,56,1.0,0.08284023668639054,1.0,0.15300546448087432,56,620,0,0,0,"{""SCC"": 56}"
MedGemma direct,ACK,216,0,0.0,0,0.0,0.0,0.0,0.0,0,0,216,0,0,"{""BCC"": 4, ""SCC"": 212}"
MedGemma direct,NEV,72,0,0.0,1,0.013888888888888888,0.0,0.0,0.0,0,0,72,0,72,"{""BCC"": 3, ""SCC"": 69}"
MedGemma direct,SEK,70,0,0.0,2,0.02857142857142857,0.0,0.0,0.0,0,0,70,0,70,"{""BCC"": 3, ""SCC"": 67}"
Qwen direct,MEL,25,11,0.44,11,0.44,0.3235294117647059,0.44,0.3728813559322034,11,23,14,0,0,"{""BCC"": 14, ""MEL"": 11}"
Qwen direct,BCC,250,138,0.552,248,0.992,0.3317307692307692,0.552,0.41441441441441446,138,278,112,56,0,"{""BCC"": 138, ""MEL"": 4, ""SCC"": 52, ""SEK"": 56}"
Qwen direct,SCC,56,9,0.16071428571428573,28,0.5,0.13846153846153847,0.16071428571428573,0.1487603305785124,9,56,47,12,0,"{""BCC"": 35, ""SCC"": 9, ""SEK"": 12}"
Qwen direct,ACK,216,13,0.06018518518518518,62,0.28703703703703703,1.0,0.06018518518518518,0.11353711790393013,13,0,203,65,0,"{""ACK"": 13, ""BCC"": 127, ""MEL"": 2, ""SCC"": 2, ""SEK"": 65, ""UNK"": 7}"
Qwen direct,NEV,72,0,0.0,3,0.041666666666666664,0.0,0.0,0.0,0,0,72,0,61,"{""BCC"": 50, ""MEL"": 11, ""SEK"": 8, ""UNK"": 3}"
Qwen direct,SEK,70,10,0.14285714285714285,22,0.3142857142857143,0.06622516556291391,0.14285714285714285,0.09049773755656108,10,141,60,0,60,"{""BCC"": 52, ""MEL"": 6, ""SCC"": 2, ""SEK"": 10}"
LLaMA direct,MEL,25,17,0.68,19,0.76,0.25,0.68,0.3655913978494624,17,51,8,0,0,"{""BCC"": 4, ""MEL"": 17, ""SCC"": 4}"
LLaMA direct,BCC,250,149,0.596,241,0.964,0.3547619047619048,0.596,0.4447761194029851,149,271,101,0,0,"{""ACK"": 4, ""BCC"": 149, ""MEL"": 6, ""SCC"": 91}"
LLaMA direct,SCC,56,20,0.35714285714285715,35,0.625,0.1111111111111111,0.35714285714285715,0.1694915254237288,20,160,36,0,0,"{""BCC"": 36, ""SCC"": 20}"
LLaMA direct,ACK,216,2,0.009259259259259259,25,0.11574074074074074,0.3333333333333333,0.009259259259259259,0.018018018018018018,2,4,214,5,0,"{""ACK"": 2, ""BCC"": 163, ""NEV"": 2, ""SCC"": 46, ""SEK"": 3}"
LLaMA direct,NEV,72,3,0.041666666666666664,9,0.125,0.42857142857142855,0.041666666666666664,0.0759493670886076,3,4,69,0,66,"{""BCC"": 28, ""MEL"": 27, ""NEV"": 3, ""SCC"": 11, ""SEK"": 3}"
LLaMA direct,SEK,70,2,0.02857142857142857,5,0.07142857142857142,0.25,0.02857142857142857,0.05128205128205128,2,6,68,0,66,"{""BCC"": 40, ""MEL"": 18, ""NEV"": 2, ""SCC"": 8, ""SEK"": 2}"
